PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,PRC,RET
11850,20060103,XOM,EXXON MOBIL CORP,20678,30231G10,58.47000,0.040947
11850,20060104,XOM,EXXON MOBIL CORP,20678,30231G10,58.57000,0.001710
11850,20060105,XOM,EXXON MOBIL CORP,20678,30231G10,58.28000,-0.004951
11850,20060106,XOM,EXXON MOBIL CORP,20678,30231G10,59.43000,0.019732
11850,20060109,XOM,EXXON MOBIL CORP,20678,30231G10,59.40000,-0.000505
11850,20060110,XOM,EXXON MOBIL CORP,20678,30231G10,59.86000,0.007744
11850,20060111,XOM,EXXON MOBIL CORP,20678,30231G10,60.27000,0.006849
11850,20060112,XOM,EXXON MOBIL CORP,20678,30231G10,59.64000,-0.010453
11850,20060113,XOM,EXXON MOBIL CORP,20678,30231G10,60.97000,0.022301
11850,20060117,XOM,EXXON MOBIL CORP,20678,30231G10,61.54000,0.009349
11850,20060118,XOM,EXXON MOBIL CORP,20678,30231G10,60.68000,-0.013975
11850,20060119,XOM,EXXON MOBIL CORP,20678,30231G10,61.50000,0.013514
11850,20060120,XOM,EXXON MOBIL CORP,20678,30231G10,60.53000,-0.015772
11850,20060123,XOM,EXXON MOBIL CORP,20678,30231G10,61.20000,0.011069
11850,20060124,XOM,EXXON MOBIL CORP,20678,30231G10,60.96000,-0.003922
11850,20060125,XOM,EXXON MOBIL CORP,20678,30231G10,60.21000,-0.012303
11850,20060126,XOM,EXXON MOBIL CORP,20678,30231G10,59.95000,-0.004318
11850,20060127,XOM,EXXON MOBIL CORP,20678,30231G10,61.29000,0.022352
11850,20060130,XOM,EXXON MOBIL CORP,20678,30231G10,63.11000,0.029695
11850,20060131,XOM,EXXON MOBIL CORP,20678,30231G10,62.75000,-0.005704
11850,20060201,XOM,EXXON MOBIL CORP,20678,30231G10,61.95000,-0.012749
11850,20060202,XOM,EXXON MOBIL CORP,20678,30231G10,61.95000,0.000000
11850,20060203,XOM,EXXON MOBIL CORP,20678,30231G10,61.39000,-0.009040
11850,20060206,XOM,EXXON MOBIL CORP,20678,30231G10,61.97000,0.009448
11850,20060207,XOM,EXXON MOBIL CORP,20678,30231G10,60.55000,-0.022914
11850,20060208,XOM,EXXON MOBIL CORP,20678,30231G10,60.39000,0.002642
11850,20060209,XOM,EXXON MOBIL CORP,20678,30231G10,59.92000,-0.007783
11850,20060210,XOM,EXXON MOBIL CORP,20678,30231G10,59.43000,-0.008178
11850,20060213,XOM,EXXON MOBIL CORP,20678,30231G10,59.60000,0.002860
11850,20060214,XOM,EXXON MOBIL CORP,20678,30231G10,59.55000,-0.000839
11850,20060215,XOM,EXXON MOBIL CORP,20678,30231G10,59.76000,0.003526
11850,20060216,XOM,EXXON MOBIL CORP,20678,30231G10,60.25000,0.008199
11850,20060217,XOM,EXXON MOBIL CORP,20678,30231G10,60.55000,0.004979
11850,20060221,XOM,EXXON MOBIL CORP,20678,30231G10,60.76000,0.003468
11850,20060222,XOM,EXXON MOBIL CORP,20678,30231G10,60.26000,-0.008229
11850,20060223,XOM,EXXON MOBIL CORP,20678,30231G10,59.83000,-0.007136
11850,20060224,XOM,EXXON MOBIL CORP,20678,30231G10,60.42000,0.009861
11850,20060227,XOM,EXXON MOBIL CORP,20678,30231G10,59.92000,-0.008275
11850,20060228,XOM,EXXON MOBIL CORP,20678,30231G10,59.37000,-0.009179
11850,20060301,XOM,EXXON MOBIL CORP,20678,30231G10,60.34000,0.016338
11850,20060302,XOM,EXXON MOBIL CORP,20678,30231G10,60.85000,0.008452
11850,20060303,XOM,EXXON MOBIL CORP,20678,30231G10,60.98000,0.002136
11850,20060306,XOM,EXXON MOBIL CORP,20678,30231G10,59.98000,-0.016399
11850,20060307,XOM,EXXON MOBIL CORP,20678,30231G10,59.85000,-0.002167
11850,20060308,XOM,EXXON MOBIL CORP,20678,30231G10,59.71000,-0.002339
11850,20060309,XOM,EXXON MOBIL CORP,20678,30231G10,58.92000,-0.013231
11850,20060310,XOM,EXXON MOBIL CORP,20678,30231G10,59.18000,0.004413
11850,20060313,XOM,EXXON MOBIL CORP,20678,30231G10,59.64000,0.007773
11850,20060314,XOM,EXXON MOBIL CORP,20678,30231G10,60.81000,0.019618
11850,20060315,XOM,EXXON MOBIL CORP,20678,30231G10,61.02000,0.003453
